,sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,is_recid,r_charge_desc,is_violent_recid,type_of_assessment,decile_score.1,score_text,v_type_of_assessment,v_decile_score,v_score_text,priors_count.1,start,end,event,two_year_recid,length_of_stay,length_of_stay.1,length_of_stay.2
2311,0,4,0,0,3,0,0,8,51,1,0,1,37,0,0,3,0,0,3,0,8,0,0,1,1,36,18,0
2717,0,1,0,3,10,0,0,3,27,1,0,1,95,0,0,10,2,0,10,2,3,0,5,1,1,36,18,4
727,0,3,1,0,4,0,0,11,3,1,0,1,32,0,0,4,0,0,2,0,11,0,42,1,1,35,0,0
6518,0,4,0,0,1,0,0,1,31,1,0,1,10,0,0,1,0,0,1,0,1,0,8,1,1,35,18,4
384,0,2,0,0,9,0,0,4,22,1,0,1,49,1,0,9,2,0,9,2,4,75,63,1,1,34,13,3
4607,0,2,0,0,9,1,0,10,52,1,0,1,9,0,0,9,2,0,6,1,10,0,36,1,1,34,17,4
3946,0,3,1,0,8,0,0,8,3,1,0,1,7,0,0,8,2,0,4,0,8,0,57,1,1,33,1,0
3011,0,5,0,0,2,0,0,13,22,1,0,1,82,0,0,2,0,0,2,0,13,31,27,1,1,32,5,1
2766,1,3,0,0,9,0,0,9,22,1,0,1,2,1,0,9,2,0,5,1,9,32,40,1,1,32,1,0
4783,0,4,0,0,9,0,0,31,22,1,0,1,28,0,0,9,2,0,5,1,31,32,27,1,1,32,1,0
2206,0,2,0,0,9,0,1,1,22,1,0,1,154,0,0,9,2,0,8,2,1,31,24,0,1,32,6,0
713,0,5,0,0,8,0,0,18,22,1,0,1,8,0,0,8,2,0,6,1,18,32,22,0,1,32,0,0
1964,0,4,0,0,9,0,0,5,22,1,0,1,12,0,0,9,2,0,2,0,5,61,49,0,1,32,2,0
3529,0,2,0,0,7,0,0,2,22,1,0,1,28,0,0,7,1,0,7,1,2,76,29,0,1,32,0,0
2441,0,5,1,0,9,0,0,33,22,1,0,1,82,0,0,9,2,0,3,0,33,31,27,1,1,32,16,3
2971,0,2,1,0,6,0,1,3,23,1,0,1,26,0,0,6,1,0,6,1,3,0,1,1,1,32,16,4
2808,0,2,0,0,10,1,9,2,22,1,0,1,8,0,0,10,2,0,9,2,2,31,31,1,1,31,0,3
2997,0,2,0,0,10,0,1,5,22,1,0,1,5,0,0,10,2,0,8,2,5,31,49,1,1,31,0,0
3719,0,3,0,0,9,1,0,16,22,1,0,1,19,1,0,9,2,0,10,2,16,31,66,1,1,31,9,3
2695,0,3,0,0,2,0,0,1,62,1,0,1,168,0,0,2,0,0,4,0,1,0,3,1,1,29,14,28
3644,0,3,0,0,4,0,0,5,22,1,0,1,5,1,0,4,0,0,3,0,5,29,43,1,1,29,16,3
372,0,2,0,0,9,0,0,4,22,1,0,1,7,0,0,9,2,0,6,1,4,28,24,1,1,29,33,3
1658,0,3,0,0,9,0,0,6,37,8,0,1,12,0,0,9,2,0,3,0,6,0,18,1,1,28,14,25
1445,0,2,0,0,5,0,0,3,24,1,0,1,127,1,0,5,1,0,8,2,3,0,1,1,1,28,14,3
3638,0,4,0,0,8,0,1,19,22,1,0,1,22,0,0,8,2,0,3,0,19,27,45,1,1,28,10,2
1321,0,3,0,1,10,2,0,17,28,1,0,1,7,0,0,10,2,0,10,2,17,0,7,1,1,27,14,3
6953,0,2,0,1,6,0,1,1,5,1,0,1,54,0,0,6,1,0,7,1,1,0,22,1,1,27,28,6
6873,0,5,0,0,3,0,0,23,6,1,0,1,10,0,0,3,0,0,1,0,23,0,42,0,1,27,9,0
324,0,2,0,0,9,0,0,0,22,1,0,1,46,0,0,9,2,0,8,2,0,27,23,1,1,27,1,0
365,0,3,0,0,5,0,0,2,25,1,1,1,48,1,0,5,1,0,2,0,2,0,4,1,1,27,13,3
1260,0,2,0,0,10,0,0,0,22,1,0,1,58,1,0,10,2,0,10,2,0,27,31,1,1,27,9,2
5318,0,1,0,1,10,2,0,3,8,1,0,1,17,1,0,10,2,0,9,2,3,0,36,1,1,26,0,0
4121,0,2,0,0,9,0,0,7,22,1,0,1,8,0,0,9,2,0,6,1,7,26,26,1,1,26,4,1
1013,0,2,0,2,7,1,0,5,28,1,0,1,49,1,0,7,1,0,8,2,5,0,6,1,1,26,13,1
1991,0,4,0,0,1,0,0,5,22,1,0,1,17,0,0,1,0,0,1,0,5,26,41,1,1,26,0,0
7123,0,2,0,0,3,0,0,2,22,1,0,1,116,1,0,3,0,0,5,1,2,26,28,0,1,26,1,0
4400,0,2,0,1,10,1,0,18,22,1,0,1,68,0,0,10,2,0,7,1,18,75,52,1,1,26,6,1
1670,0,3,0,0,6,0,0,6,7,1,0,1,137,1,0,6,1,0,7,1,6,0,28,0,1,26,0,0
5367,0,5,1,0,1,0,0,3,22,1,0,1,37,0,0,1,0,0,1,0,3,26,24,1,1,26,4,3
1173,0,3,0,0,7,0,0,4,44,2,0,1,9,1,0,7,1,0,6,1,4,0,27,1,1,25,12,3
4561,0,2,0,0,9,1,0,4,22,1,0,1,110,1,0,9,2,0,9,2,4,25,20,1,1,25,26,6
2698,0,5,1,0,6,0,0,7,22,1,0,1,10,0,0,6,1,0,8,2,7,0,1,1,1,25,1,3
2190,0,3,0,0,7,0,0,2,22,1,0,1,48,1,0,7,1,0,3,0,2,25,26,1,1,25,0,3
1166,0,2,0,0,10,0,0,2,23,1,0,1,110,0,0,10,2,0,10,2,2,0,0,1,1,25,12,24
2574,0,5,0,0,5,0,0,7,22,1,0,1,80,0,0,5,1,0,1,0,7,23,36,0,0,24,2,0
6114,0,2,0,1,10,0,0,1,22,1,0,1,9,0,0,10,2,0,10,2,1,24,18,1,1,24,9,2
5971,0,5,1,0,7,0,0,7,22,1,0,1,39,0,0,7,1,0,3,0,7,24,22,1,1,24,0,0
2692,0,4,0,0,9,0,0,25,22,1,0,1,2,1,0,9,2,0,9,2,25,24,26,0,1,24,2,3
4559,0,3,0,0,6,0,1,10,22,1,0,1,176,0,0,6,1,0,2,0,10,23,40,1,1,24,0,0
5896,0,2,0,0,9,4,1,15,38,1,0,1,17,1,0,9,2,0,7,1,15,0,20,1,1,24,12,3
3001,0,5,0,0,4,0,0,10,40,1,0,1,82,0,0,4,0,0,3,0,10,0,22,1,1,24,12,2
2919,0,3,0,0,4,0,0,5,22,1,0,1,8,0,0,4,0,0,6,1,5,23,19,1,1,23,13,3
5736,0,2,0,0,7,0,0,2,49,2,0,1,12,0,0,7,1,0,8,2,2,0,32,1,1,23,11,2
3837,0,3,0,2,9,2,1,19,22,1,0,1,68,0,0,9,2,0,7,1,19,23,35,1,1,23,0,2
5141,1,3,0,0,5,0,0,2,22,1,0,1,9,0,0,5,1,0,4,0,2,23,26,1,1,23,0,0
115,0,4,0,0,9,1,0,10,22,1,0,1,9,0,0,9,2,0,7,1,10,23,25,1,1,23,2,0
3729,0,3,0,10,7,0,0,14,22,1,0,1,8,0,0,7,1,0,5,1,14,22,18,1,1,22,24,6
7084,0,2,1,0,9,0,0,3,23,1,1,1,32,0,0,9,2,0,7,1,3,0,0,1,1,22,11,2
2487,0,2,0,0,7,0,0,1,22,1,0,1,37,0,0,7,1,0,8,2,1,82,79,1,1,22,1,7
1811,0,2,1,0,7,0,0,2,31,1,0,1,111,0,0,7,1,0,7,1,2,0,11,1,1,21,11,2
6822,1,3,1,0,5,0,0,5,10,1,0,1,2,1,0,5,1,0,2,0,5,0,34,1,1,21,0,0
6791,0,2,0,0,8,0,0,3,22,1,0,1,32,1,0,8,2,0,8,2,3,21,36,1,1,21,8,1
2040,0,4,0,0,8,0,0,2,22,1,0,1,10,0,0,8,2,0,2,0,2,21,25,1,1,21,1,0
2475,0,2,0,0,9,1,2,5,22,1,0,1,54,0,0,9,2,0,9,2,5,20,48,1,1,20,0,0
5121,0,6,1,0,1,0,0,6,39,1,1,1,231,0,0,1,0,0,2,0,6,0,20,1,1,20,10,2
3353,0,3,0,0,5,0,0,1,11,1,0,1,32,0,0,5,1,0,3,0,1,0,14,1,1,20,1,2
3240,0,2,0,0,9,1,0,4,22,1,0,1,9,0,0,9,2,0,6,1,4,18,23,1,1,19,10,2
6781,0,2,0,0,10,0,0,1,39,3,1,1,2,1,0,10,2,0,10,2,1,0,20,0,1,19,3,2
4858,0,2,0,0,6,0,0,6,30,1,0,1,7,0,0,6,1,0,3,0,6,0,9,0,1,19,0,2
1686,0,4,0,0,9,0,0,14,24,1,0,1,5,0,0,9,2,0,3,0,14,0,2,0,1,18,4,2
4536,0,2,1,0,7,0,0,3,22,1,0,1,9,0,0,7,1,0,6,1,3,18,28,0,1,18,14,0
1329,0,2,0,2,10,0,1,2,22,1,0,1,37,0,0,10,2,0,9,2,2,18,14,1,1,18,4,2
878,0,2,0,0,10,3,1,6,22,1,0,1,10,0,0,10,2,0,6,1,6,88,89,1,1,17,0,0
6302,0,4,1,0,6,0,0,18,26,1,0,1,66,0,0,6,1,0,1,0,18,0,4,0,1,17,17,2
4517,0,3,0,0,4,0,0,1,22,1,0,1,8,0,0,4,0,0,3,0,1,17,19,1,1,17,0,0
6989,0,3,0,0,8,0,0,6,22,1,0,1,270,0,0,8,2,0,6,1,6,17,33,0,1,17,15,0
2102,0,2,0,0,6,0,0,3,22,1,0,1,2,1,0,6,1,0,5,1,3,16,78,1,0,17,2,0
6667,0,3,0,0,3,0,0,6,27,1,0,1,17,0,0,3,0,0,1,0,6,0,6,0,1,17,1,2
4628,1,2,1,0,9,0,0,4,22,1,1,1,80,0,0,9,2,0,5,1,4,17,14,1,1,17,0,0
1859,0,5,0,0,8,0,0,9,22,1,0,1,32,0,0,8,2,0,5,1,9,17,12,1,1,17,6,1
2204,0,2,0,0,9,0,0,17,22,1,0,1,9,0,0,9,2,0,9,2,17,17,33,1,1,17,16,3
5981,0,3,0,1,9,0,0,13,8,1,0,1,95,0,0,9,2,0,5,1,13,0,36,1,1,17,11,2
4180,0,2,0,0,2,0,0,2,22,1,0,1,9,0,0,2,0,0,3,0,2,16,15,0,0,16,0,0
64,0,2,0,0,10,1,2,2,27,1,0,1,17,0,0,10,2,0,9,2,2,0,6,0,1,16,5,2
518,0,5,0,0,7,0,0,10,22,1,0,1,63,0,0,7,1,0,4,0,10,16,38,1,1,16,0,0
1551,0,4,0,0,1,0,0,1,22,1,0,1,132,0,0,1,0,0,1,0,1,0,0,1,1,16,8,2
208,0,4,1,0,5,0,0,11,26,1,0,1,2,1,0,5,1,0,3,0,11,0,4,1,1,16,8,6
6825,0,4,0,0,8,0,0,38,22,1,0,1,9,1,0,8,2,0,8,2,38,15,41,1,1,16,2,1
3910,1,2,1,0,8,0,1,7,13,1,1,1,17,0,0,8,2,0,7,1,7,0,14,1,1,16,0,0
2871,0,2,0,0,4,0,0,0,60,1,0,1,89,0,0,4,0,0,6,1,0,0,46,1,1,15,7,1
3533,1,2,0,0,10,0,0,2,23,1,0,1,19,1,0,10,2,0,9,2,2,0,1,0,1,15,6,1
175,0,3,0,0,9,0,0,8,24,1,0,1,12,0,0,9,2,0,7,1,8,0,2,0,1,15,5,1
2994,0,3,1,0,8,0,0,9,22,1,0,1,5,1,0,8,2,0,4,0,9,15,33,0,1,15,0,0
4927,0,4,1,0,4,0,0,11,22,1,0,1,82,0,0,4,0,0,2,0,11,15,10,1,1,15,7,1
1724,0,3,0,0,9,0,0,27,22,1,0,1,10,0,0,9,2,0,7,1,27,15,14,1,1,15,12,2
6498,0,5,0,0,9,0,0,7,22,1,0,1,21,1,0,9,2,0,3,0,7,15,15,1,1,15,2,0
5031,1,4,1,0,9,0,0,28,22,1,0,1,134,0,0,9,2,0,5,1,28,15,14,1,1,15,0,0
3086,1,5,1,0,2,0,0,0,22,1,0,1,43,0,0,2,0,0,2,0,0,15,31,1,1,15,2,0
6536,0,5,0,0,5,0,0,12,22,1,1,1,14,1,0,5,1,0,2,0,12,15,13,1,1,15,25,6
6994,0,3,0,0,6,0,0,3,22,1,1,1,60,0,0,6,1,0,4,0,3,15,18,1,1,15,0,1
3230,0,4,0,1,9,0,1,9,22,1,0,1,9,0,0,9,2,0,7,1,9,15,13,1,1,15,4,1
866,0,3,0,0,8,3,0,25,22,1,1,1,9,0,0,8,2,0,7,1,25,15,21,1,1,15,4,1
588,0,2,0,4,7,0,0,4,67,1,0,1,32,0,0,7,1,0,8,2,4,0,55,1,1,15,7,1
3106,0,2,0,0,9,13,1,21,22,1,0,1,11,0,0,9,2,0,9,2,21,15,22,1,1,15,6,1
1139,0,2,0,0,6,0,0,5,28,1,0,1,9,0,0,6,1,0,4,0,5,0,7,1,1,15,7,1
6442,0,2,0,0,10,1,0,3,13,1,0,1,19,1,0,10,2,0,5,1,3,0,10,0,1,15,3,0
5877,0,3,0,0,8,1,0,7,22,1,0,1,136,1,0,8,2,0,3,0,7,15,61,1,1,15,0,1
107,0,5,0,0,9,0,0,14,35,1,0,1,25,1,0,9,2,0,4,0,14,0,15,1,1,14,7,1
6434,0,3,0,0,8,0,0,4,29,2,0,1,174,1,0,8,2,0,7,1,4,0,8,1,1,14,7,1
7143,0,2,0,0,10,0,1,1,22,1,0,1,8,0,0,10,2,0,10,2,1,14,15,0,1,14,3,1
6891,1,2,1,0,9,0,0,5,42,1,0,1,5,0,0,9,2,0,3,0,5,0,3,1,1,14,7,1
1931,0,2,0,0,10,0,0,10,22,1,1,1,71,0,0,10,2,0,8,2,10,14,13,0,1,14,11,2
1243,0,3,1,0,5,0,0,10,31,1,0,1,2,1,0,5,1,0,2,0,10,0,11,1,1,14,7,1
3549,0,2,1,0,4,0,0,5,22,1,0,1,197,0,0,4,0,0,5,1,5,13,14,0,1,13,5,0
1960,0,5,0,0,5,0,0,8,22,1,0,1,148,1,0,5,1,0,2,0,8,13,9,1,1,13,12,3
4056,0,2,0,0,3,0,0,2,46,1,1,1,20,1,0,3,0,0,4,0,2,0,24,1,1,13,6,0
4463,0,2,0,0,9,0,0,1,22,1,0,1,84,0,0,9,2,0,10,2,1,13,15,1,1,13,3,0
5327,1,3,1,0,2,0,0,4,39,1,0,1,9,0,0,2,0,0,3,0,4,0,20,1,1,13,6,1
6969,0,5,1,0,3,0,0,1,29,1,0,1,80,0,0,3,0,0,1,0,1,0,9,1,1,13,6,0
2349,0,3,0,0,1,0,0,2,14,1,0,1,157,1,0,1,0,0,2,0,2,0,11,1,1,13,4,6
6757,0,4,1,0,1,0,0,2,22,1,0,1,17,0,0,1,0,0,1,0,2,11,51,1,1,12,8,1
5784,0,2,0,0,2,0,0,0,22,1,0,1,9,1,0,2,0,0,3,0,0,11,27,1,1,12,1,0
6892,0,3,0,0,6,3,4,15,22,1,0,1,65,0,0,6,1,0,4,0,15,11,23,0,1,12,0,0
4444,0,2,0,0,8,0,0,2,22,1,0,1,42,1,0,8,2,0,6,1,2,12,70,0,0,12,0,0
5161,0,4,0,0,6,0,0,12,15,1,0,1,12,0,0,6,1,0,3,0,12,0,17,1,1,12,8,2
885,0,2,0,0,6,0,0,3,22,1,0,1,93,0,0,6,1,0,6,1,3,12,43,1,1,12,1,0
2860,0,2,0,0,8,0,0,3,22,1,0,1,21,0,0,8,2,0,9,2,3,11,18,1,1,12,8,2
191,0,3,0,0,10,0,0,13,43,1,0,1,5,0,0,10,2,0,7,1,13,0,25,1,1,12,6,1
3449,0,2,0,0,9,0,0,0,22,1,1,1,10,0,0,9,2,0,6,1,0,12,25,1,1,12,0,1
460,1,3,0,0,7,0,0,4,11,1,0,1,5,0,0,7,1,0,3,0,4,0,16,1,1,12,0,0
5492,0,3,0,0,10,0,0,15,22,1,0,1,11,0,0,10,2,0,9,2,15,12,32,0,1,12,9,0
6613,0,2,0,0,8,0,1,7,15,1,1,1,9,0,0,8,2,0,9,2,7,0,13,1,1,12,2,0
2076,0,2,0,2,10,0,0,4,22,1,0,1,8,0,0,10,2,0,7,1,4,11,11,0,1,11,3,0
6686,0,3,0,0,2,0,0,0,22,1,0,1,2,1,0,2,0,0,2,0,0,11,44,1,1,11,0,0
4157,0,2,0,0,10,0,0,2,22,1,0,1,209,0,0,10,2,0,6,1,2,11,22,1,1,11,0,0
2934,0,2,1,0,9,1,0,9,22,1,0,1,18,0,0,9,2,0,9,2,9,11,50,1,1,11,0,0
5297,0,3,1,0,7,0,0,3,16,1,0,1,21,0,0,7,1,0,5,1,3,0,19,1,1,11,16,3
1853,0,2,0,2,10,1,0,8,16,1,1,1,43,1,0,10,2,0,7,1,8,0,21,0,1,11,0,0
1808,1,2,1,0,7,0,0,3,13,1,0,1,97,0,0,7,1,0,4,0,3,0,33,1,1,11,10,26
3550,0,3,0,3,10,0,2,19,29,1,1,1,29,0,0,10,2,0,6,1,19,0,7,1,1,11,5,1
2058,0,5,0,0,7,0,0,38,14,1,0,1,55,0,0,7,1,0,2,0,38,0,19,1,1,11,5,1
755,0,2,0,0,7,0,0,4,22,1,0,1,18,0,0,7,1,0,7,1,4,10,37,1,1,11,1,0
3068,0,2,0,0,10,0,0,1,22,1,0,1,8,0,0,10,2,0,9,2,1,11,12,1,1,11,0,0
5044,0,5,1,0,3,0,0,2,22,1,1,1,61,0,0,3,0,0,1,0,2,10,17,1,1,11,0,1
2129,0,5,0,0,6,0,0,21,22,1,0,1,13,0,0,6,1,0,5,1,21,11,9,1,1,11,4,1
3971,0,3,0,0,1,0,0,0,22,1,0,1,14,1,0,1,0,0,2,0,0,10,44,1,1,11,0,0
4304,0,2,0,0,9,0,0,9,22,1,0,1,17,0,0,9,2,0,8,2,9,54,48,1,1,11,3,0
1521,0,2,0,0,10,4,4,14,22,1,0,1,27,0,0,10,2,0,7,1,14,10,34,1,1,11,7,1
2305,0,3,1,1,9,0,0,10,29,1,1,1,10,0,0,9,2,0,4,0,10,0,8,1,1,11,5,1
5943,0,3,0,0,7,0,0,4,22,1,1,1,14,1,0,7,1,0,7,1,4,9,11,0,1,10,7,0
5060,0,2,0,0,10,0,0,6,22,1,0,1,20,1,0,10,2,0,10,2,6,10,8,1,1,10,19,1
3961,0,3,1,0,4,0,0,4,22,1,1,1,5,0,0,4,0,0,4,0,4,10,19,1,1,10,0,0
4502,0,4,1,0,6,0,0,1,22,1,0,1,94,0,0,6,1,0,3,0,1,0,0,1,1,10,4,1
3745,0,2,0,0,6,0,0,2,40,1,1,1,9,1,0,6,1,0,6,1,2,0,22,1,1,10,5,1
2742,0,3,1,0,10,0,0,19,26,1,0,1,82,0,0,10,2,0,3,0,19,0,5,0,1,10,0,1
3459,0,2,0,0,5,0,0,7,22,1,0,1,6,0,0,5,1,0,3,0,7,10,33,1,1,10,9,2
4833,1,2,0,0,9,0,1,11,22,1,1,1,53,0,0,9,2,0,8,2,11,10,61,1,1,10,0,0
680,0,2,0,0,10,0,1,2,22,1,1,1,32,1,0,10,2,0,9,2,2,10,11,1,1,10,1,0
957,0,5,0,0,5,0,0,4,22,1,1,1,53,1,0,5,1,0,4,0,4,10,7,1,1,10,12,3
4420,0,2,0,0,10,1,0,3,22,1,1,1,27,0,0,10,2,0,9,2,3,10,9,0,1,10,6,4
5180,0,5,0,0,9,0,0,12,27,1,0,1,146,0,0,9,2,0,4,0,12,0,6,0,1,10,3,1
2331,0,3,0,0,7,0,0,7,22,1,0,1,11,0,0,7,1,0,7,1,7,10,34,1,1,10,0,0
194,0,2,0,0,9,0,0,9,22,1,0,1,29,0,0,9,2,0,8,2,9,10,15,1,1,10,7,1
4072,0,5,0,0,1,0,0,15,22,1,0,1,9,0,0,1,0,0,2,0,15,10,13,1,1,10,0,0
4067,0,2,1,0,9,0,0,8,33,1,1,1,21,0,0,9,2,0,7,1,8,0,13,1,1,10,5,1
5614,0,2,0,0,9,0,0,10,16,1,0,1,73,0,0,9,2,0,7,1,10,0,46,1,1,10,10,2
2111,0,2,0,0,8,0,0,4,22,1,0,1,19,1,0,8,2,0,9,2,4,10,58,0,0,10,1,1
3303,0,2,0,0,5,0,0,1,22,1,0,1,8,0,0,5,1,0,7,1,1,9,17,1,1,10,16,4
2512,0,5,0,0,9,0,0,6,49,1,1,1,30,0,0,9,2,0,5,1,6,0,33,0,1,10,0,1
1583,0,4,1,0,7,0,0,11,23,1,0,1,9,1,0,7,1,0,4,0,11,0,1,0,1,10,4,1
5947,0,2,1,0,7,0,1,10,22,1,0,1,43,0,0,7,1,0,6,1,10,9,76,1,0,9,0,1
2684,0,2,0,0,4,0,0,4,17,1,0,1,29,0,0,4,0,0,5,1,4,0,10,0,1,9,7,0
2112,0,4,1,0,6,0,0,1,22,1,0,1,5,0,0,6,1,0,4,0,1,9,10,1,1,9,11,2
3767,0,5,0,0,6,0,0,12,17,1,0,1,42,1,0,6,1,0,2,0,12,0,26,1,1,9,5,1
1869,0,2,0,0,3,0,0,0,22,1,0,1,2,1,0,3,0,0,6,1,0,9,48,1,1,9,6,1
2401,0,5,0,0,6,0,0,16,22,1,0,1,32,0,0,6,1,0,3,0,16,8,6,1,1,9,2,0
3593,0,2,0,0,8,0,0,7,22,1,0,1,29,0,0,8,2,0,7,1,7,8,20,0,1,9,5,0
3673,0,5,0,0,6,0,0,22,22,1,0,1,24,0,0,6,1,0,6,1,22,9,7,0,1,9,4,0
2219,0,5,0,0,1,0,0,1,22,1,1,1,115,1,0,1,0,0,1,0,1,0,0,1,1,9,4,1
6106,0,5,0,0,9,0,0,22,22,1,0,1,5,0,0,9,2,0,5,1,22,9,8,1,1,9,9,2
5486,0,4,1,0,8,0,0,0,22,1,0,1,10,0,0,8,2,0,3,0,0,8,28,1,1,9,0,1
5466,0,2,0,0,4,0,0,1,22,1,0,1,9,0,0,4,0,0,5,1,1,8,32,1,1,9,0,0
6927,0,5,0,0,5,0,0,3,22,1,1,1,80,0,0,5,1,0,3,0,3,9,43,0,1,9,0,0
4838,0,4,0,0,9,0,0,15,22,1,0,1,6,1,0,9,2,0,7,1,15,9,18,1,1,9,18,4
1872,0,4,1,0,7,0,0,10,22,1,0,1,144,0,0,7,1,0,5,1,10,38,55,1,1,9,0,0
7195,0,3,0,0,7,0,0,8,22,1,1,1,37,0,0,7,1,0,4,0,8,8,35,1,1,8,0,1
4269,0,6,0,0,4,0,0,13,27,1,0,1,106,0,0,4,0,0,2,0,13,0,5,0,1,8,0,1
540,0,2,1,1,10,0,4,6,34,1,0,1,17,0,0,10,2,0,10,2,6,0,12,1,1,8,4,1
5413,0,2,0,4,10,2,1,6,17,1,0,1,12,0,0,10,2,0,10,2,6,0,6,0,1,8,14,0
1486,0,2,0,9,4,0,0,9,17,1,0,1,12,0,0,4,0,0,7,1,9,0,16,1,1,8,18,4
7118,0,4,0,0,10,0,0,4,22,1,0,1,5,1,0,10,2,0,2,0,4,8,14,0,1,8,7,3
5748,0,4,1,0,4,0,0,13,22,1,1,1,2,1,0,4,0,0,3,0,13,8,13,1,1,8,5,1
4185,1,2,1,0,7,0,0,6,22,1,0,1,31,0,0,7,1,0,2,0,6,8,6,1,1,8,0,0
3588,0,3,0,0,5,0,0,5,22,1,0,1,79,0,0,5,1,0,4,0,5,8,15,1,1,8,12,3
2260,0,2,0,0,8,0,0,11,17,1,0,1,12,0,0,8,2,0,7,1,11,0,49,1,1,8,9,2
3280,0,3,0,0,9,0,0,8,22,1,0,1,18,0,0,9,2,0,9,2,8,8,28,1,1,8,1,1
4202,0,4,0,0,4,0,0,9,22,1,0,1,200,0,0,4,0,0,2,0,9,8,77,1,0,8,0,0
7003,0,4,0,0,7,0,0,2,22,3,0,1,71,0,0,7,1,0,2,0,2,8,25,1,1,8,5,1
567,0,2,0,0,4,0,0,5,22,1,1,1,18,0,0,4,0,0,9,2,5,8,27,1,1,8,1,1
6835,0,2,1,0,4,0,0,4,11,1,0,1,2,1,0,4,0,0,3,0,4,0,19,1,1,8,1,0
1799,0,2,0,0,6,0,0,3,25,1,0,1,9,1,0,6,1,0,6,1,3,0,3,1,1,8,4,1
3540,0,4,1,0,4,0,0,8,25,1,0,1,5,0,0,4,0,0,6,1,8,0,3,1,1,8,4,1
6455,0,5,1,0,1,0,0,2,17,1,0,1,34,0,0,1,0,0,1,0,2,0,31,1,1,8,8,2
1754,0,2,0,0,8,0,0,0,22,1,0,1,140,1,0,8,2,0,7,1,0,7,24,0,1,8,0,0
652,1,2,0,0,2,0,0,9,17,1,0,1,73,0,0,2,0,0,2,0,9,0,22,1,1,8,3,0
1428,0,4,1,0,2,0,0,1,22,1,0,1,19,1,0,2,0,0,1,0,1,8,21,0,1,8,9,0
5207,1,4,0,0,8,0,0,8,22,1,0,1,53,0,0,8,2,0,4,0,8,8,15,1,1,8,11,2
5645,0,3,0,0,6,0,0,1,22,1,1,1,247,1,0,6,1,0,5,1,1,8,71,1,0,8,6,1
