,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
70,7,1,1,2,3,-1,-1,-1,-1,-1,-1,-69,-85,-81,-67,-82,-47,0,0,0,0,0,0,0
71,31,1,2,2,2,2,2,2,2,2,2,-59,-74,-75,-56,-70,-37,0,0,0,0,0,0,1
72,19,0,2,1,3,-1,-1,-1,-1,2,-1,-68,-84,-81,-66,-82,-46,0,0,1,0,0,0,0
73,28,0,1,2,3,1,-2,-1,-1,-1,-1,-69,-85,-81,-67,-82,-47,0,0,0,0,0,0,0
74,33,1,1,2,3,-1,-1,-1,-1,-1,-1,-69,-84,-79,-66,-67,-43,0,1,0,12,6,0,0
75,1,1,2,2,2,0,0,2,0,0,0,-67,-82,-80,-64,-79,-44,0,0,0,0,0,0,0
76,4,1,3,2,2,-1,0,0,0,0,0,-62,-78,-77,-65,-81,-45,0,0,0,0,0,0,0
77,29,0,1,1,4,-1,-1,-1,-1,-1,-1,-69,-85,-81,-67,-82,-47,0,0,0,0,0,0,0
78,2,0,2,2,2,0,0,0,0,0,0,-65,-80,-78,-62,-77,-46,0,0,0,0,0,0,1
79,23,0,2,2,4,1,-2,-2,-2,-2,-2,-69,-85,-81,-67,-83,-47,0,0,0,0,0,0,1
80,46,0,3,3,3,0,0,0,0,0,0,-41,-56,-64,-54,-77,-42,0,0,0,0,0,0,0
81,35,0,1,2,2,0,0,0,0,0,-1,-65,-80,-78,-61,-47,-47,0,0,0,23,0,0,0
82,5,1,3,2,3,0,0,0,0,0,0,-65,-80,-78,-63,-79,-44,0,0,0,0,0,0,1
83,39,0,2,1,4,0,0,2,0,0,0,-46,-59,-68,-47,-62,-33,1,0,0,0,0,0,0
84,4,0,3,2,4,0,0,0,0,0,0,-61,-76,-79,-63,-79,-44,0,0,0,0,0,0,0
85,15,1,2,2,3,0,0,0,0,0,0,-47,-65,-74,-45,-59,-29,0,0,8,0,1,0,0
86,35,0,1,1,4,-1,-1,2,0,-1,-1,-69,-85,-81,-67,-82,-47,0,0,0,0,0,0,1
87,15,0,2,2,3,0,0,0,0,0,-1,-69,-84,-81,-65,-81,-47,0,0,0,0,0,0,0
88,12,0,1,1,3,0,0,0,-1,-1,-1,-55,-63,-79,-67,-81,-47,4,0,0,1,0,0,0
89,1,1,3,2,4,2,2,0,0,0,2,-68,-84,-80,-65,-80,-45,0,0,0,0,0,0,0
90,19,1,1,1,5,2,2,2,2,2,2,-45,-59,-66,-40,-54,-24,0,0,0,0,1,0,1
91,27,0,1,2,3,-1,-1,-1,0,0,-2,-68,-85,-81,-66,-83,-47,0,0,0,0,0,0,0
92,9,0,1,2,2,-2,-2,-2,-2,-2,-2,-70,-84,-81,-67,-83,-47,0,0,0,0,0,0,0
93,15,0,2,1,3,-1,-1,-1,-1,-1,-2,-69,-85,-81,-67,-83,-47,0,0,0,0,0,1,0
94,5,0,2,2,2,0,0,0,0,0,0,-61,-77,-76,-63,-79,-44,0,0,0,0,0,0,0
95,8,1,2,2,3,0,0,0,0,0,0,-55,-69,-72,-60,-76,-42,0,0,0,0,0,0,0
96,35,1,1,1,4,-1,-1,-1,-1,-1,0,-69,-84,-81,-66,-77,-45,0,0,1,4,0,12,0
97,14,1,1,2,2,0,0,0,0,0,0,-54,-69,-72,-50,-65,-41,0,0,0,0,0,0,0
98,4,0,3,1,2,0,0,0,0,0,0,-66,-82,-80,-64,-81,-46,0,0,0,0,0,0,0
99,1,1,2,1,3,0,0,0,0,0,-1,-66,-82,-79,-63,-79,-47,0,0,0,0,0,0,1
100,13,1,1,2,3,-2,-2,-2,-2,-2,-2,-69,-83,-81,-67,-83,-47,1,0,0,0,0,0,0
101,37,0,1,2,3,-2,-2,-1,0,0,0,-70,-85,-78,-61,-76,-42,0,1,0,0,0,0,0
102,47,1,1,1,6,0,0,0,2,2,0,3,-4,-29,23,9,24,1,3,1,0,4,4,0
103,4,0,3,2,2,0,0,0,0,0,0,-62,-77,-77,-61,-78,-43,0,0,0,0,0,0,1
104,5,0,2,2,2,2,2,2,2,2,0,-60,-75,-75,-56,-72,-38,0,0,0,0,0,0,0
105,6,0,2,2,2,-1,-1,-2,-2,-2,-1,-69,-85,-81,-67,-83,-43,0,0,0,0,6,0,0
106,7,0,2,1,3,-1,-1,-1,-1,-1,-1,-68,-85,-81,-66,-82,-47,0,0,0,0,0,0,0
107,34,1,1,2,5,-1,-1,-1,-1,-1,-1,-69,-85,-81,-67,-82,-46,0,0,0,0,1,0,0
108,12,1,2,2,3,0,0,0,-1,-1,-1,-39,-52,-77,-44,-74,-28,1,0,14,0,31,0,0
109,35,1,2,1,3,1,-2,-2,-2,-2,-2,-70,-85,-81,-67,-83,-47,0,0,0,0,0,0,0
110,32,0,1,1,3,0,0,2,0,0,0,-51,-65,-70,-47,-62,-31,1,0,0,0,3,0,0
111,4,1,3,1,4,0,0,2,0,0,0,-67,-83,-80,-64,-79,-44,0,0,0,0,0,0,0
112,27,1,2,1,4,2,2,2,2,2,3,-46,-59,-67,-40,-53,-24,0,0,1,2,0,0,0
113,9,0,1,2,2,0,0,0,0,0,0,-60,-75,-75,-56,-71,-38,0,0,0,0,0,0,0
114,4,1,2,2,4,0,0,0,0,0,0,-66,-82,-79,-63,-79,-44,0,0,0,0,0,0,0
115,2,1,1,2,2,-1,2,0,0,3,2,-66,-82,-79,-63,-78,-44,0,0,0,0,0,0,1
116,23,1,1,2,2,-1,-1,-1,-1,-1,-1,-69,-85,-81,-66,-82,-47,0,0,0,0,0,0,0
117,7,1,2,2,2,2,0,0,0,0,0,-67,-82,-80,-64,-79,-44,0,0,0,0,0,0,1
118,39,1,2,1,3,-1,-1,-1,-1,-1,-1,-66,-84,-80,-65,-80,-46,1,0,0,2,1,1,0
119,23,0,2,2,3,0,0,0,0,-1,-1,-61,-76,-76,-57,-82,-47,0,0,0,0,0,0,0
120,4,1,3,2,3,2,2,2,3,2,2,-61,-77,-76,-58,-73,-39,0,0,0,0,0,0,1
121,44,1,1,1,4,1,-2,-2,-2,-2,-2,-69,-85,-81,-67,-83,-47,0,0,0,0,0,0,1
122,10,0,1,1,4,1,-2,-2,-2,-2,-2,-69,-85,-81,-67,-83,-47,0,0,0,0,0,0,0
123,30,0,2,1,3,2,0,0,0,0,0,-16,-27,-48,-19,-34,-17,1,0,0,1,1,1,1
124,1,1,1,2,2,0,0,0,0,0,0,-66,-82,-79,-63,-79,-44,0,0,0,0,0,0,0
125,1,1,2,2,2,1,-2,-2,-2,-2,-2,-69,-85,-81,-67,-83,-47,0,0,0,0,0,0,0
126,19,1,3,2,5,0,0,0,0,0,0,-50,-67,-71,-48,-62,-31,0,0,0,0,0,0,0
127,17,1,1,1,3,0,0,0,0,0,0,-41,-64,-71,-49,-63,-32,0,0,0,0,0,0,1
128,4,1,2,1,5,0,0,0,0,0,0,-69,-85,-81,-66,-81,-46,0,0,0,0,0,0,1
129,5,1,3,1,5,3,2,2,0,0,0,-59,-74,-75,-61,-77,-43,0,0,0,0,0,0,0
130,2,0,1,2,2,1,-2,-2,-2,-1,-1,-69,-84,-81,-67,-80,-46,0,0,0,2,1,0,0
131,23,1,1,2,4,1,-1,-1,0,0,-1,-69,-85,-81,-66,-82,-47,0,0,0,0,0,0,0
132,41,1,2,1,3,0,0,0,0,0,0,-25,-39,-57,-26,-41,-18,1,0,0,1,1,2,0
133,32,1,3,1,4,0,0,0,0,0,0,-30,-42,-56,-24,-38,-12,0,0,0,1,1,1,0
134,2,0,2,2,2,0,0,0,0,0,0,-65,-80,-78,-62,-79,-47,0,0,0,0,0,0,0
135,23,1,2,1,3,0,0,0,2,2,2,-68,-83,-80,-64,-80,-45,0,0,0,0,0,0,0
136,14,1,1,2,2,0,0,0,0,0,0,-66,-82,-79,-62,-77,-42,0,0,0,0,0,0,0
137,20,0,2,1,3,0,0,0,0,0,0,-68,-84,-80,-65,-82,-46,0,0,0,0,0,0,0
138,4,0,3,1,5,-1,-1,-1,-1,-2,-2,-69,-85,-81,-67,-83,-47,0,0,0,0,0,0,1
139,4,1,1,2,2,0,0,0,0,0,0,-61,-76,-76,-63,-79,-44,0,0,0,0,0,0,0
140,23,1,1,2,4,1,-2,-2,-2,-2,-2,-69,-85,-81,-67,-83,-47,0,0,0,0,0,0,1
141,17,1,2,2,2,-1,-1,-1,-1,-1,-1,-69,-85,-81,-67,-82,-47,0,0,0,0,0,0,0
142,4,1,2,2,2,1,2,2,2,0,0,-68,-83,-79,-63,-79,-44,0,0,0,0,0,0,0
143,16,1,2,2,2,-2,-2,-2,-2,-2,-2,-67,-84,-80,-65,-81,-44,1,0,1,1,3,1,0
144,1,1,1,2,2,-1,-1,-1,-1,0,-1,-69,-82,-81,-66,-81,-47,1,0,0,0,0,0,0
145,4,1,1,2,2,0,0,0,0,0,3,-69,-84,-81,-65,-80,-45,0,0,0,0,0,0,0
146,16,0,2,2,2,0,0,0,0,0,0,-66,-82,-79,-64,-79,-45,0,0,0,0,0,0,1
147,19,1,1,2,3,1,2,0,0,0,0,-35,-52,-71,-41,-57,-38,0,0,6,0,1,1,0
148,7,0,2,1,2,1,2,3,2,0,0,-68,-83,-80,-65,-81,-45,0,0,0,0,0,0,0
149,25,0,1,1,6,1,-2,-1,-1,-1,-1,-70,-86,-79,-67,-82,-47,0,1,0,0,0,0,0
150,13,1,2,1,3,0,0,0,0,2,0,-54,-71,-74,-55,-71,-38,0,0,0,0,0,0,0
151,7,1,1,2,2,0,0,0,0,0,0,-62,-75,-77,-59,-74,-42,3,0,0,1,0,2,0
152,34,1,1,2,4,1,-1,-1,-1,-1,-2,-69,-85,-81,-67,-83,-47,0,0,0,0,0,0,0
153,27,0,2,1,5,0,0,0,0,0,0,-33,-51,-67,-48,-48,-21,0,0,0,15,1,1,0
154,2,0,3,2,2,0,0,0,0,0,0,-68,-83,-80,-65,-80,-45,0,0,0,0,0,0,0
155,13,1,1,1,3,0,0,0,0,0,0,-65,-80,-78,-59,-73,-39,0,0,1,0,0,1,0
156,19,0,1,2,3,0,0,0,0,0,0,-51,-66,-72,-50,-64,-33,0,0,0,0,0,0,0
157,19,0,3,2,3,0,0,0,0,0,0,-35,-49,-61,-36,-54,-28,0,0,0,0,1,0,0
158,20,1,3,1,4,2,3,4,4,5,6,-49,-62,-67,-41,-54,-23,1,0,1,1,2,1,1
159,4,1,3,1,5,3,2,0,0,0,0,-67,-83,-80,-64,-80,-45,0,0,0,0,0,0,0
160,2,1,1,2,4,2,2,2,2,2,0,-65,-80,-78,-62,-77,-43,0,0,0,0,0,0,0
161,4,1,2,2,2,2,-1,-1,-1,-1,2,-69,-85,-81,-67,-82,-47,0,0,0,0,0,0,0
162,28,1,3,1,4,-1,-1,-1,-1,0,-1,-69,-85,-81,-67,-82,-47,0,0,0,0,0,0,0
163,24,0,1,1,3,0,0,2,0,0,0,-45,-56,-65,-38,-52,-22,2,0,0,0,1,0,0
164,5,0,2,1,4,0,0,0,0,0,0,-66,-81,-79,-62,-77,-43,0,0,0,0,0,0,0
165,10,0,1,2,2,0,0,0,0,0,0,-52,-66,-70,-53,-68,-35,0,0,0,0,0,0,0
166,36,1,1,2,5,-2,-2,-2,-2,-2,-2,-68,-83,-81,-64,-82,-45,1,0,1,0,3,0,0
167,9,1,2,1,2,-1,2,2,0,0,0,-52,-67,-75,-61,-78,-47,0,0,0,0,0,9,0
168,8,0,2,1,3,0,0,0,0,0,2,-57,-72,-73,-52,-66,-33,0,0,0,1,0,0,0
169,4,0,2,2,2,0,0,0,0,0,0,-65,-80,-78,-62,-77,-42,0,0,0,0,0,0,0
170,26,1,2,2,3,0,0,0,0,0,0,-63,-79,-78,-62,-77,-43,0,0,0,0,0,0,0
171,29,0,1,2,3,-1,-1,-1,-1,-1,-1,-69,-85,-81,-66,-82,-47,0,0,0,0,0,0,0
172,4,0,2,2,2,-1,0,0,0,0,0,-68,-83,-80,-65,-82,-46,1,0,0,0,1,1,0
173,4,0,1,2,2,1,-2,-2,-2,-2,-2,-70,-86,-81,-67,-83,-47,0,0,0,0,0,0,1
174,35,1,1,2,2,1,-2,-1,-1,-2,-2,-69,-85,-81,-67,-83,-47,0,0,0,0,0,0,0
175,12,1,3,1,5,1,2,2,2,2,3,-58,-73,-74,-54,-68,-36,0,0,0,0,0,0,1
176,7,1,1,2,3,-2,-1,0,0,0,0,-68,-85,-81,-67,-82,-46,0,0,0,0,0,0,0
177,4,1,2,2,3,1,2,0,0,0,2,-61,-76,-76,-61,-78,-43,0,0,0,0,0,0,0
178,1,0,2,2,2,0,0,0,0,0,0,-67,-83,-80,-64,-80,-45,0,0,0,0,0,0,0
179,7,0,2,1,2,0,0,2,0,0,0,-56,-70,-73,-55,-80,-45,0,0,0,0,0,0,0
180,23,1,1,2,3,-1,-1,2,0,0,-1,-67,-80,-79,-62,-77,-47,1,0,0,0,0,12,0
181,7,0,3,2,3,0,-1,0,0,0,0,-61,-83,-80,-64,-79,-44,1,0,0,0,0,0,0
182,49,0,1,1,4,0,0,0,0,0,0,-60,-65,-69,-44,-61,-36,7,1,3,3,12,3,0
183,5,0,2,1,2,0,0,0,0,0,0,-59,-75,-76,-63,-79,-44,0,0,0,0,0,0,1
184,1,1,2,2,2,0,0,0,0,0,-1,-68,-83,-80,-65,-82,-47,0,0,0,0,0,0,0
185,9,0,2,1,3,1,2,0,0,2,0,-67,-83,-80,-64,-79,-44,0,0,0,0,0,0,1
186,35,0,1,2,3,1,-1,-1,-1,-1,-1,-69,-75,-81,-54,-80,-44,6,0,7,2,3,7,0
187,19,0,3,2,4,2,2,2,2,2,2,-35,-47,-60,-30,-43,-18,0,0,0,1,0,1,1
188,12,0,2,1,3,1,-1,0,0,0,0,-69,-84,-80,-64,-80,-45,0,0,0,0,0,0,0
189,1,0,2,2,3,1,5,4,4,3,2,-66,-81,-79,-63,-79,-44,0,0,0,0,0,0,0
190,30,1,1,2,3,0,0,0,0,0,0,-59,-74,-75,-55,-71,-40,1,0,1,0,1,0,0
191,5,0,1,2,2,2,0,0,0,2,0,-66,-82,-79,-63,-78,-43,0,0,0,0,0,0,1
192,17,0,1,2,2,-1,-1,-1,-2,-1,0,-67,-85,-81,-67,-79,-44,0,0,0,2,0,0,0
193,17,0,1,2,2,-1,-1,2,0,0,-2,-67,-81,-79,-65,-83,-47,4,0,0,0,0,0,0
194,4,1,2,1,3,0,0,0,0,-1,-1,-61,-82,-79,-67,-83,-47,0,0,0,0,0,3,0
195,4,0,1,2,2,1,2,2,2,2,2,-63,-78,-77,-60,-75,-41,0,0,0,0,0,0,1
196,14,0,2,1,3,-2,-2,-2,-2,-2,-2,-69,-85,-81,-67,-83,-47,0,0,0,0,0,0,0
197,1,0,1,2,2,0,0,0,0,-1,0,-66,-82,-79,-65,-79,-44,0,0,0,3,0,0,0
198,49,0,1,1,3,-2,-2,-2,-1,-1,-1,-69,-85,-81,-67,-82,-47,0,0,0,0,0,2,0
199,2,0,3,2,2,1,2,2,0,0,0,-64,-80,-78,-61,-82,-47,0,0,0,0,0,0,1
200,17,0,1,1,3,-2,-2,-2,-2,-2,-2,-69,-85,-81,-67,-83,-47,0,0,0,0,0,0,0
201,13,1,1,2,3,0,0,2,0,0,2,-65,-80,-79,-63,-77,-45,2,0,0,1,0,0,0
202,13,0,1,2,2,-1,0,-1,-1,-1,-1,-67,-82,-80,-66,-80,-47,1,0,0,2,0,1,0
203,11,1,2,2,2,0,0,0,0,0,0,-51,-65,-69,-45,-59,-28,0,0,0,0,1,0,0
204,35,0,2,1,4,0,0,0,0,0,0,-30,-42,-56,-31,-48,-25,1,0,0,0,1,0,0
205,1,1,3,1,4,-1,-1,0,0,0,0,-69,-82,-79,-63,-79,-44,2,0,0,0,0,0,0
206,9,1,1,1,4,-1,-1,-1,-1,-1,-1,-69,-85,-81,-67,-82,-47,0,0,0,0,0,0,0
207,20,0,2,1,4,-1,-1,-1,-1,-1,-1,-69,-85,-81,-66,-82,-47,0,0,0,0,0,0,1
208,7,0,2,2,2,0,0,0,0,0,0,-55,-70,-73,-58,-73,-39,0,0,0,0,0,0,1
209,32,0,1,1,5,-1,-1,-1,-1,-2,-2,-68,-85,-81,-66,-83,-47,0,0,0,0,0,0,0
210,21,1,1,2,2,0,0,0,-1,-1,-1,-51,-65,-69,-65,-83,-34,0,0,0,0,19,0,0
211,20,0,1,1,3,1,-2,-1,0,-1,-1,-69,-85,-81,-67,-82,-47,0,0,0,0,0,1,1
212,3,0,3,1,4,0,0,0,0,0,0,-63,-78,-77,-60,-76,-42,0,0,0,0,0,0,0
213,2,1,2,2,3,0,0,0,2,0,0,-65,-80,-79,-64,-81,-46,0,0,0,0,0,0,0
214,46,1,2,2,2,2,2,2,2,0,0,-18,-28,-48,22,-23,0,1,0,0,1,2,1,0
215,2,1,3,1,4,-1,-1,-1,-1,-1,2,-69,-85,-81,-67,-82,-47,0,0,0,0,0,0,0
216,23,0,2,1,3,1,-2,-2,-2,-2,-2,-70,-86,-82,-67,-83,-47,0,0,0,0,0,0,1
217,7,1,2,2,3,2,0,0,0,0,0,-56,-71,-73,-52,-68,-35,0,0,0,0,0,0,0
218,10,0,3,0,3,0,0,0,0,0,0,-54,-70,-73,-53,-70,-37,0,0,0,0,0,1,0
219,30,0,1,2,3,-1,-1,-1,-1,-2,-2,-69,-85,-81,-67,-83,-47,0,0,0,0,0,0,0
220,35,0,1,1,4,2,2,2,0,0,0,-51,-64,-69,-45,-59,-29,1,0,0,0,1,0,1
221,32,0,3,2,4,0,0,0,0,0,0,-11,-22,-45,-5,-17,2,1,0,1,1,2,2,0
222,29,0,2,2,3,0,0,0,0,0,0,-18,-30,-59,-27,-42,-14,1,0,1,1,2,2,0
223,31,0,2,2,3,0,0,0,0,0,0,-53,-68,-70,-54,-74,-42,1,1,0,0,1,0,0
224,4,0,3,2,3,1,3,2,0,0,0,-60,-76,-76,-61,-77,-42,0,0,0,0,0,5,1
225,16,0,1,2,2,0,0,0,0,0,0,-47,-61,-67,-43,-58,-27,0,0,2,0,1,0,0
226,34,1,3,1,4,-1,-1,-1,-1,-1,-2,-69,-85,-81,-67,-83,-47,0,0,0,0,0,0,0
227,1,1,2,1,3,0,0,0,0,0,0,-67,-82,-79,-63,-79,-44,0,0,0,0,0,0,0
228,4,1,2,2,2,2,0,0,0,0,0,-61,-76,-77,-63,-79,-44,0,0,0,0,0,0,1
229,1,0,3,2,2,1,2,0,0,0,0,-66,-82,-80,-65,-82,-47,0,0,0,0,0,0,0
230,4,0,1,2,2,0,0,0,0,0,0,-63,-79,-78,-63,-80,-47,0,0,0,0,0,0,0
231,1,1,2,2,2,1,2,0,0,2,0,-66,-82,-80,-64,-80,-45,0,0,0,0,0,1,1
232,4,1,2,1,2,0,0,-2,-1,-1,0,-51,-85,-81,-66,-74,-40,0,0,0,7,0,0,0
233,18,1,2,2,3,2,0,0,0,2,2,-47,-61,-67,-40,-55,-24,0,0,1,0,2,0,1
234,5,0,2,1,3,0,0,0,0,0,0,-59,-79,-79,-63,-79,-44,0,0,0,0,0,0,0
235,7,1,1,2,3,-1,-1,-1,-1,-1,-1,-68,-85,-81,-66,-82,-44,0,0,0,0,4,0,0
236,14,0,2,2,2,0,0,0,0,0,0,-47,-65,-76,-59,-75,-42,0,0,0,0,0,0,0
237,20,0,1,2,3,-2,-2,-2,-2,-1,-1,-69,-85,-81,-67,-81,-46,0,0,0,0,0,0,0
238,23,0,3,1,5,0,0,0,0,0,0,-28,-42,-58,-28,-41,-14,1,0,0,1,1,1,1
